id,initialX,initialY,finalX,finalY
177959981,13,47,83.0,89.0
177959975,17,11,49.0,8.0
177959988,51,92,74.0,60.0
177959977,26,40,19.0,40.0
177959979,19,40,19.0,0.0
177959992,81,100,100.0,100.0
177959994,74,100,66.0,96.0
177959995,66,96,74.0,95.0
177959982,26,5,19.0,10.0
177959997,74,95,81.0,90.0
177959999,81,90,76.0,99.0
177959984,19,10,24.0,1.0
177959985,24,1,27.0,25.0
177959986,27,25,33.0,79.0
177959987,33,79,83.0,87.0
177959989,83,87,68.0,59.0
177959991,68,59,66.0,26.0
177959993,66,26,87.0,20.0
177959996,87,20,87.0,15.0
177959998,87,15,88.0,27.0
177960009,12,73,31.0,75.0
177960000,69,25,66.0,59.0
177960001,66,59,75.0,91.0
177960002,75,91,72.0,70.0
177960003,72,70,73.0,79.0
177960004,73,79,67.0,71.0
177960006,67,71,61.0,41.0
177960007,61,41,88.0,13.0
177960008,88,13,95.0,64.0
177960014,13,81,5.0,36.0
177960017,5,36,0.0,30.0
177960010,0,30,100.0,100.0
177960011,100,100,91.0,90.0
177960012,91,90,85.0,85.0
177960013,85,85,73.0,69.0
177960015,73,69,95.0,40.0
177960019,5,60,7.0,72.0
177960016,95,40,93.0,28.0
177960018,93,28,0.0,0.0
177960020,7,74,0.0,77.0
177960021,0,77,100.0,100.0
177960022,100,0,90.0,10.0
177960025,90,10,78.0,17.0
177960026,78,17,67.0,57.0
177960028,67,57,87.0,77.0
177960023,13,23,23.0,12.0
177961249,87,77,77.0,88.0
177960031,77,88,0.0,0.0
177960027,13,26,34.0,52.0
177960033,66,48,82.0,9.0
177960035,82,9,68.0,15.0
177960037,68,15,59.0,36.0
177960039,59,36,62.0,59.0
177960041,62,59,71.0,77.0
177960043,71,77,61.0,68.0
177960044,61,68,72.0,79.0
177960046,72,79,65.0,67.0
177960048,65,67,91.0,87.0
177960030,9,13,100.0,100.0
177960051,91,87,0.0,0.0
177960032,1,7,100.0,100.0
177960034,100,100,58.0,10.0
177960036,58,10,84.0,10.0
177960052,42,90,16.0,90.0
177960054,16,90,23.0,100.0
177960040,77,0,100.0,100.0
177960042,77,0,80.0,10.0
177960057,20,90,21.0,90.0
177960045,80,10,79.0,10.0
177960047,79,10,93.0,64.0
177960059,7,36,0.0,28.0
177960050,100,72,100.0,100.0
177960053,100,100,79.0,83.0
177960055,79,83,96.0,35.0
177960061,4,65,12.0,95.0
177960058,88,5,74.0,10.0
177960064,12,95,26.0,90.0
177960060,74,10,72.0,21.0
177961250,26,90,28.0,79.0
177960065,28,79,31.0,88.0
177960062,69,12,88.0,22.0
177960063,88,22,86.0,27.0
177960067,12,78,14.0,73.0
177960068,14,73,22.0,87.0
177960066,78,13,73.0,86.0
177960069,73,86,100.0,100.0
177960070,20,9,33.0,19.0
177960073,67,81,72.0,87.0
177960071,33,19,28.0,13.0
177960075,72,87,85.0,86.0
177960072,28,13,15.0,14.0
177960074,15,14,11.0,16.0
177960077,85,86,89.0,84.0
177960076,11,16,0.0,0.0
177961251,89,84,100.0,100.0
177960079,100,93,100.0,100.0
177960080,100,100,93.0,55.0
177960081,93,55,93.0,0.0
177960078,7,45,7.0,100.0
177960082,93,0,100.0,100.0
177960083,93,0,97.0,49.0
177960087,97,49,98.0,46.0
177960089,3,51,2.0,54.0
177960088,98,46,97.0,49.0
177960084,4,54,19.0,75.0
177960085,19,75,30.0,38.0
177960086,30,38,32.0,73.0
177960090,32,73,33.0,27.0
177960091,33,27,43.0,19.0
177960092,43,19,61.0,20.0
177960093,61,20,71.0,61.0
177960094,29,39,37.0,63.0
177960095,63,37,64.0,36.0
177960097,36,64,20.0,69.0
177960096,64,36,80.0,31.0
177960098,20,69,9.0,66.0
